של,57002460
את,54681691
על,41327099
לא,28460023
עם,18773699
זה,16918431
כל,15994480
הוא,15487438
או,13798308
גם,12010015
אני,10183467
כי,9766260
מה,9363926
יש,9213794
היא,8974480
אם,8498638
יותר,8115945
אבל,6742693
היה,6577781
בין,6227358
לי,5740125
כך,5576157
אחד,5514073
רק,5388724
הם,5297971
כדי,5185219
כמו,5165646
אין,5104237
עד,5094752
בית,4946381
ישראל,4837461
אל,4819668
עוד,4130161
לפני,4104743
זו,4079430
לו,4016890
אותו,3883099
ידי,3806312
כמה,3689560
מאוד,3643575
אשר,3628818
שם,3627205
אך,3626935
זאת,3553857
ניתן,3544009
שלי,3481776
הזה,3417606
יום,3397932
בו,3305532
כבר,3305317
מי,3131689
אז,3129135
שלנו,3118460
כאן,3086734
היום,3059198
שלך,3054190
אתה,3033221
איך,3017292
בן,2991714
האם,2984030
לכם,2955877
לנו,2946604
אביב,2918809
טוב,2888242
יכול,2861040
כן,2843491
שלו,2841569
לך,2825146
שנים,2673434
אחר,2625652
הרבה,2605868
אחת,2588414
אנחנו,2578748
אלא,2573246
דבר,2474293
זמן,2472591
שני,2454659
היו,2398266
אחרי,2388127
לפי,2367780
אפשר,2366604
אתם,2362040
מספר,2360001
צריך,2285866
שיש,2249720
אדם,2200661
קשר,2179361
עבור,2171453
דרך,2156028
שנה,2105224
חיים,2100452
אנשים,2073152
אותה,2047018
מידע,2021915
חלק,1997043
אנו,1991398
תל,1987905
להם,1986400
אותם,1947363
שלכם,1945187
עבודה,1923231
אף,1917693
לה,1912597
רוצה,1908874
בני,1893957
פי,1889232
אתר,1881302
יהיה,1878386
פעם,1867290
חדש,1864424
מקום,1831442
גדול,1828070
רבים,1785051
בה,1775956
הכי,1758820
ממש,1721973
אלה,1714929
חשוב,1711125
דין,1706092
למה,1704532
ראש,1668468
נוספים,1666539
ילדים,1662233
הייתה,1650820
דף,1626003
ספר,1619663
שלהם,1613587
בדרך,1599981
פשוט,1597607
ביום,1595182
אתרים,1585339
שלה,1582762
הכל,1580391
חדשות,1577442
מן,1576288
הן,1576143
כולל,1546765
נגד,1532764
שונים,1524075
חברת,1518708
עכשיו,1504193
בלבד,1487202
לב,1472301
אותי,1470012
אלו,1461920
אינו,1460037
משהו,1446579
העיר,1422489
רב,1421328
מדובר,1415721
מנת,1410423
אחרים,1406451
תמיד,1406131
תוך,1405263
בעל,1402267
ראשון,1398140
בעלי,1391724
בהם,1379254
הזמן,1375286
שימוש,1374063
דקות,1368662
אולי,1366249
ירושלים,1359502
שעות,1348680
מערכת,1328111
שירות,1323211
נראה,1319635
כלל,1316540
תודה,1313947
קשה,1312899
שמורות,1294390
קצת,1291939
אמר,1286928
דברים,1281306
עדיין,1278010
מול,1265240
יכולים,1239434
מקור,1227143
עצמו,1226555
משרד,1218286
עיצוב,1215428
מכל,1209453
עליו,1208610
בלי,1200067
פחות,1197849
בצורה,1195191
נכון,1193507
אפילו,1188196
חדר,1173973
בתי,1165176
בת,1160515
שוב,1143829
ימים,1139509
צילום,1138802
אומר,1133819
נוסף,1132104
שבו,1123906
טובה,1119193
אי,1105780
אחרת,1104146
חברה,1097311
מרכז,1096709
כפי,1095092
הייתי,1092063
יחד,1091379
רבות,1070434
חיפוש,1064010
כמעט,1057488
רוצים,1057222
פה,1047623
תגובות,1046358
מחיר,1044467
קוד,1043321
האדם,1041392
למרות,1037386
רכב,1034614
בר,1032014
תגובה,1030348
כיצד,1029678
כזה,1026800
נשים,1022718
יודע,1016300
שלום,1003409
מדי,1001259
בגלל,1000259
הבא,983173
מעט,981206
חברות,980151
טיפול,979273
לחץ,967461
ועד,965413
חודשים,964528
לכן,963706
עמוד,961486
תמונות,960232
מס,951862
שום,950240
אצל,950119
נמצא,949369
איש,949138
חדשים,947813
שאלות,946224
מהם,940140
קטן,939711
כדאי,937168
חדשה,928642
הזו,927051
גבוהה,925078
בלתי,924585
חשבון,924397
יפה,923119
הדרך,921295
מלון,920516
יכולה,917821
תנאי,917731
חוק,914976
סוף,913847
מים,912420
ראשי,910098
שתי,905862
שירותי,905750
כולם,903041
אודות,901578
אולם,900415
משה,897246
אותך,892311
החל,881109
אוטובוס,880852
עושה,880509
אותנו,879861
כסף,879834
הרי,879082
פעולה,878863
כתב,875148
מעל,865101
מאת,864981
כתובת,864863
איזה,862768
דעת,861922
שונות,859942
לתת,859913
מלא,858905
רבה,858316
אישי,856145
גדולה,852182
אינה,849863
ביטוח,847684
מיליון,842414
תוכלו,840710
שבע,836288
הדבר,834732
ניהול,833235
עריכה,832174
פרק,826811
דוד,822350
ספרים,817693
חינם,814665
עושים,814572
מעבר,806727
עולם,803175
מדיניות,800917
צורך,800166
מאמרים,797382
עסקים,794259
תהיה,793240
רמת,793239
כלי,791590
קו,786604
תחת,784169
יד,781820
פעילות,781216
מוצרים,778870
ממנו,778271
חיפה,778198
קודם,776303
תוכן,774668
פנים,773927
גן,769752
אירועים,768065
כגון,763143
חוות,763121
בניית,760698
שכל,751758
מגוון,749349
ים,748417
שאתה,743814
מומלץ,743211
אור,743105
ברור,742379
מצב,740241
מקצועי,740149
קישורים,737485
אוכל,735297
צור,731688
עולה,729756
אליו,728572
משחק,727759
צריכים,726731
בשל,721017
ספק,719959
אחרות,719574
אישית,718248
זכויות,718044
פעמים,717615
עצמי,715268
יהודה,712533
הגיע,705568
עובד,701492
דווקא,698428
פרטי,697681
שבת,696074
לקוחות,695166
די,689347
מנהל,682451
זהו,680724
שאתם,680703
אנשי,680083
תהליך,676246
לקראת,675255
רוב,673295
סוג,672403
פרטים,670424
צוות,668775
מיוחד,668194
ניסיון,668175
מכן,666462
לקחת,665801
מלונות,664466
מזה,663404
קבלת,660169
עובדים,656787
אתכם,656170
חובה,655355
משפחה,654100
קל,651405
ערך,650689
נושא,650131
אינם,649997
יוסף,649422
סקס,649282
שקל,649027
בריאות,645187
ערב,645177
כללי,644684
נוספות,642562
שבוע,642205
המשך,642045
פורסם,641426
לבן,641416
ידע,637236
גדולים,636174
משפט,635440
רבי,635332
בשם,634688
יעקב,633449
עורך,632916
מתאים,632694
סעיף,632276
שכן,631875
פרסום,631534
שאלה,630472
מערכות,629871
בא,625870
שיער,625774
שעה,624016
הסרט,623900
סיפור,623355
שינוי,621840
גוף,621656
לומר,619940
מחדש,614944
כהן,614438
מגיע,611315
חבר,608560
רואה,608131
נוספת,608117
יצחק,607451
ימי,605667
יודעים,604416
מדוע,603518
מספיק,603515
שלושה,602483
קידום,600198
דולר,599452
הכנסת,599429
שנות,599007
אינטרנט,598730
גבוה,597546
פתח,592848
משנה,591501
כניסה,590699
מאשר,585804
ספורט,580334
איכות,580298
עליה,579962
למעלה,579950
שבה,576775
גיל,576287
מישהו,575705
שמן,572590
אפשרות,572284
יהיו,571965
יצא,569511
דירה,569190
שונה,568336
להלן,568179
מסלול,565831
הרכב,565715
קיים,565682
טובים,565476
נסיעה,562235
תרבות,562101
ככה,561712
חברים,560554
שחור,559997
עניין,559091
אלקטרוני,558365
תוצאות,558264
לחצו,557613
הללו,556956
צריכה,556241
כוח,555552
באר,553215
רשת,552822
המון,552099
שינויים,551907
תורה,551891
פרטיות,551474
אכן,551396
פרשת,546079
חושב,544417
מלאה,543047
ייעוץ,542844
אהבה,542584
לוח,542207
תמונה,541966
יצירת,541372
קצר,541247
קטנים,541130
עליהם,540491
אירוע,539869
הנה,539470
אלף,539377
דק,539167
חייב,539097
מבין,538127
שנת,533279
שר,532942
קורס,532843
שוק,531938
עצמה,531416
עיר,530530
מיוחדים,530330
רגע,530200
כלים,530020
חודש,529968
יפו,528545
למען,525389
מקצוע,522631
חצי,522531
שלמה,521290
וידאו,521075
שלוש,519893
לעומת,518403
רחב,518319
סרט,517724
תרגום,516872
לוקח,516107
אצלנו,514433
חינוך,513502
תוכנית,513381
יהודי,512082
השם,511558
כה,511429
פיתוח,511186
כפר,511133
אלי,509728
לאומי,508943
פני,508864
אוהב,508807
מפני,508174
קפה,507757
חוץ,507677
בוקר,507263
תואר,504798
מרחק,504612
העסק,504496
נגישות,503240
בסיס,503169
איפה,502864
בגין,502527
שקלים,500910
תקשורת,500597
מיני,500249
חברי,500149
בעיה,498789
חי,497094
אותן,496751
מעולה,496523
מדינת,496383
ראה,496046
לילה,493793
משחקי,493339
הקשר,492101
משחקים,490658
סוגי,488674
היטב,488374
עבר,487165
עורכי,482821
אחריות,482624
תשלום,482435
כלפי,481480
שווה,479230
אישה,478272
עסק,476922
אמנם,475924
קטנה,475771
מאות,475375
הודעה,474704
עץ,474606
דואר,474417
מקרה,473983
נתניהו,473270
שיווק,471505
תגיות,470785
מתי,470248
אהבתי,469995
מילים,469649
מוצרי,469297
לגמרי,468897
קורה,468627
שיתוף,468597
מעניין,467230
ילד,465784
יוצא,465129
שניתן,464829
אזור,463815
הולך,462550
מכבי,461354
רשימת,459921
קבוצת,459594
הפנים,458851
חדרים,457606
דירות,457349
עשה,455873
לימודי,455624
היתר,455339
מגיעים,453748
מיד,452891
ארץ,452858
בעיות,452395
דרכים,452048
מהווה,450795
משתמשים,450637
הבאה,450627
בזה,450195
דומה,450114
תקווה,449925
חולים,449702
עלי,449118
ביקורת,448760
עלינו,447260
אלינו,445859
בהן,445359
סדר,445187
דפים,444874
מבלי,444690
ערוץ,444133
ברק,443881
לוי,443620
נעשה,443464
נקודות,443419
אברהם,443220
עצמם,442358
בטוח,441636
שלח,441147
יורק,441064
רשות,440446
ישראלי,440154
ראו,437801
השאלה,437629
ארגון,437557
יהודים,437089
הסכם,436839
מפת,436626
טלפון,436559
אנא,436248
הרשמה,435849
עבודות,435274
מלחמת,435158
כמות,433589
לחלוטין,432288
חד,431351
רואים,430151
מזון,428877
עשרות,427758
מחקר,426122
מקומות,425859
משתמש,424989
הפעם,424142
עומד,423845
אלפי,423433
חזרה,423063
מחירים,422014
ישנם,421841
שירותים,420038
חוסר,419424
מראה,419128
מציע,417147
הצג,416753
עקב,416491
אישור,416153
תיקון,415362
ביצוע,414738
מחוץ,414706
זוג,414644
לימוד,414128
העם,413528
בקשה,411841
הודעות,411436
ציצים,411393
יודעת,411044
דיני,410406
נושאים,409939
חיי,408856
הולדת,408534
עונה,408337
היינו,408149
אוהבת,408137
יחסית,406274
שיחה,405473
טיול,404819
מין,404638
מתחת,404625
עברית,404323
ניתוח,403713
קרן,403003
יכולת,402540
צבע,402353
תכנית,402111
שאת,401907
הוסף,401558
אחרונים,400615
גרם,400138
חג,399189
ייתכן,399182
ציוד,399177
ציון,399052
כיוון,394879
שלישי,394604
אבי,394483
נוער,394355
מקצועית,394005
נתונים,393747
קרה,393043
ממנה,391741
קרוב,391220
חומר,390894
רפואי,390845
פסק,390454
רוח,389878
מאיר,389728
כתבות,389466
הליכה,388778
עיניים,388746
בלוג,386425
מדינה,386314
תחום,386192
שיר,386078
אחרונות,385084
שינה,384743
סרטים,384375
אמת,384287
דם,384062
אוויר,383435
גודל,382714
מוזמנים,381819
ארכיון,381307
יוצרים,380235
דרום,379709
רחוב,379471
מפות,379342
קילומטר,379250
גבר,379202
שכר,378908
ארצות,378480
כרטיס,377694
כיף,375529
מוצר,375084
חשמל,374037
ארוך,373907
כושר,373876
טבעי,373249
גורם,372815
יחסי,372812
בנק,372649
לבנות,372547
חנות,372381
שבועות,372358
אומרים,371597
סתם,371418
מדהים,371070
לבד,370494
כזו,368925
אומרת,368832
מקבל,367974
רקע,366989
מידי,366878
בעלת,366665
ישירות,366076
מנסה,366040
דברי,365336
מסך,365295
אליה,364982
תפריט,364296
שיניים,362697
הר,362619
קרא,362449
עריכת,362393
חזק,361488
בנו,361067
מהר,360913
פורום,360501
מתן,360285
רכבת,360176
זכות,359334
ציבורית,359250
המלך,358994
עין,358842
מצווה,358324
שיעור,357521
תמיכה,357383
מבחינת,357199
משמעותי,357057
אוהבים,356911
חדרי,356839
מיוחדת,356447
מטעם,356410
מדינות,356270
טיפים,356233
פתרונות,355821
מר,355274
פורנו,354530
קיבל,354411
סביב,354335
שירים,353980
דן,353918
ביניהם,353825
הגיעו,353612
במה,352992
ועדת,352730
ראשונה,352631
עלה,351942
הוראות,350553
ספרי,349799
ענק,349420
מאפשר,349347
קבוצות,348835
נמצאים,348812
צעיר,348438
מתחיל,348415
סבא,348232
חייבים,347970
פתרון,347764
השבת,347691
נמצאת,347600
שמש,347479
שנתיים,347327
מדריך,347193
נתן,347146
קיימת,346859
נכתב,346402
קול,346378
עשוי,346120
בואו,345846
הורים,345660
אתמול,345641
מחפשים,345281
בי,345264
קישור,344528
מהיר,344470
ישירה,344020
השכרת,343972
גברים,343798
הערב,343342
פוסט,342932
לשעבר,342479
ניווט,342397
ישנה,342293
אירופה,342217
שטח,341815
תיק,341451
מדבר,341283
מסעדות,341027
מסוים,340643
שישי,340308
תחומי,340263
אדום,340089
שמות,339271
אבא,338950
אפשרויות,338859
חסר,338450
אימייל,335333
כוס,335283
לשים,335016
תוכל,334514
תקופה,334284
השאר,334212
ישיר,333911
טיולים,333116
כלום,332916
שלב,332781
נותן,332766
פרס,331941
פרויקט,331899
טובות,331201
הצעת,330362
אתרי,330304
מגיב,329970
המלצות,329860
עזרה,329618
אסור,329324
תשובה,328886
מענה,328817
שמח,328771
מעלה,328322
שוקולד,328173
מבצע,327805
יופי,327560
ארוחת,327297
אישיים,326761
מאוחר,326662
בנות,326571
אבן,326294
גישה,326129
ידוע,325447
נפש,324576
כולו,324149
מאחר,323970
אוניברסיטת,323886
מחשב,323239
עת,322788
הטבע,322646
ראיתי,322537
כבוד,322279
לוקחת,321777
אורחים,321674
נעים,320999
נוף,320085
טרם,320079
הדף,319493
שמו,319428
קלה,319146
יוכל,318477
קבוצה,317720
עבורכם,317463
הכסף,317354
מושלם,317329
אמנות,316805
צעד,316376
חם,315861
צעירים,315617
נכונה,314989
תכנון,314949
גבי,314864
מרכזי,314745
סיבה,313859
ברוך,313715
נולד,313505
טעם,313415
משמעות,312665
קרית,311392
נמוך,311317
השיר,310964
בשר,310929
טבע,310868
צפון,310863
ביטוי,310370
עור,310299
שמחה,310181
יכולות,309803
מכון,309761
מקבלים,309499
רפואית,308453
הפך,307831
יתר,307369
הלא,307281
מצא,306890
עיריית,306659
מועדון,305643
משמעותית,305578
רע,305340
השוואת,305136
כולנו,305130
סביר,304062
מוזיקה,303759
חומרים,303567
אגב,303334
קריאה,303225
פתוח,302293
בערך,301465
איתי,301458
כתבה,301317
כותב,301259
אש,301007
שער,300612
שמואל,300515
צד,300509
חום,300294
זהב,299695
מחשבים,299669
עדכונים,299453
אנגלית,299205
ארבע,298404
ישובים,298250
הגנה,298101
קטנות,298056
חוזר,297705
אמור,297530
השקעות,297214
מתכונים,297154
מאמר,297146
תביעה,297027
כוכבים,296644
גורמים,296616
אמרה,296328
מחפש,296103
מהו,296086
שדה,295923
כוחות,295690
הרשות,295582
לימודים,295323
אופן,294655
ניגודיות,294541
מלך,294094
מרכזית,294036
עסקי,294004
בחר,293928
סימן,293844
טלוויזיה,293766
תקופת,293612
בדיקת,293494
לעיל,293265
הזדמנות,293121
רצון,293041
עשר,292638
צו,292619
גוריון,292564
דמי,292359
משקל,292282
כדור,292123
מבחינה,291794
מהן,291767
מקווה,291667
אלוהים,291631
הביתה,291593
החלטה,291049
צבעים,290388
ראשית,289906
חייו,289494
טוען,289146
במאי,289055
ירוק,288812
אורח,288723
יין,288151
מומחה,287853
לבני,287424
שולחן,287209
מיקום,287159
הקמת,286830
סיפורים,286823
צבי,286665
הקהילה,286660
תנאים,286335
תלוי,286274
שליטה,285866
קבוע,285702
חברתית,285687
אליהם,285089
עמוק,284805
ציבור,284367
צרו,284088
מבנה,283809
נא,283391
סכום,282989
זין,282970
סופר,282861
עשרה,282675
הערות,282175
שלם,282084
אינדקס,281993
נפתח,281848
גרסה,281801
נכנס,281760
קבע,281692
עשו,281533
נזק,280866
התרבות,280850
מזל,280799
הוצאת,280498
עובר,280286
רופא,280190
רפואה,280156
קוראים,280148
טל,280093
מוכן,279031
תוכנה,278779
אילו,278656
פרטית,278512
גדולות,277963
פרטיים,277800
מכיר,277656
צומת,277226
ברוכים,277212
סוכר,277200
איכותי,277129
תאריך,276845
כתיבת,276687
רגל,276626
אורי,276135
מציצה,276092
מורה,276052
חלב,275538
איתנו,275113
צפו,274894
חוקי,274749
נשמע,274565
זוהי,274376
ראוי,273798
הצטרפו,273695
משפטי,273440
מודעות,273311
שמונה,273090
ארוכה,273056
בבתי,272921
סיום,272904
חמישי,272357
פעולות,272208
תפקיד,272128
ארבעה,271701
אלון,271124
מותר,270993
מילה,270927
נתניה,270419
שעל,269546
הדירה,269087
נשיא,268817
מומלצים,268724
מטר,268423
מבצעים,268277
בעלות,267880
פתיחת,267519
אפשרי,267485
מעשה,266401
שאר,266052
חמש,265833
חבל,265727
ניקוי,265388
ישיבה,265302
תיירות,265181
פרחים,264905
הלכה,264814
הבנתי,264598
פועל,264248
אילן,263906
זהה,263802
כתוב,263637
כלשהו,263502
חוויה,263337
משפטית,263182
חושבים,262998
שילוב,262784
זכה,262618
החדר,262557
עדיף,262524
הרע,262222
מפה,262124
עוגיות,261735
מועד,261449
דיון,261433
תצוגה,261417
מניות,261312
כוללת,261271
אופנה,261226
תושבי,261175
אמריקה,261158
עלות,260999
יקרה,260767
רציתי,260486
חנויות,259735
מכתב,259662
המטרה,259554
פינת,259524
מגורים,259434
רישום,258991
קיימים,258933
היסטוריה,258909
נפוצות,258882
עליך,258729
יהודית,258178
קטגוריות,258052
עבודת,257261
אחוז,257238
מזג,256716
לחיים,256410
ישראלים,256404
אמרו,256213
קפיצה,255827
מבט,255821
